index,question,ground_truth,predicted_answer,full_prediction
0,Mimi picked up 2 dozen seashells on the beach.  Kyle found twice as many shells as Mimi and put them in his pocket. Leigh grabbed one-third of the shells that Kyle found.  How many seashells did Leigh have?,16,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Mimi picked up 2 dozen seashells on the beach.  Kyle found twice as many shells as Mimi and put them in his pocket. Leigh grabbed one-third of the shells that Kyle found.  How many seashells did Leigh have?
Step-by-step reasoning:
(1) Mimi picked up 2 dozen seashells on the beach.
(2) Kyle found twice as many shells as Mimi and put them in his pocket.
(3) Leigh grabbed one-third of the shells that Kyle found.
(4) Multiplying the number of shells that Kyle found by one-third gives: 2 × 2 = 4.
(5) Adding the number of shells that Mimi picked up to the number of shells that Leigh grabbed gives: 2 + 4 = 6.
(6) Subtracting the number of shells that Kyle found from the number of shells that Mimi picked up gives: 2 - 4 = -2.
(7) Adding the number of shells that Mimi picked up to the number of shells that Leigh grabbed gives: 2 + -2 = 0.
Evaluation:
- The addition is straightforward.
- The subtraction is straightforward.
- No multiplication or division involved.
Final Answer: 6
#### 6

Q: In a bag of 100 marbles, 20% are white, 15% are black, and 10% are blue.  If the remaining marbles are all green, how many marbles are in the bag?
Step-by-step reasoning:"
1,Frankie's parents let him have many pets. He has six more snakes than he has cats. He has one less parrot than cats. Six of his pets have four legs. He has 2 dogs. How many pets does he have in total?,19,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Frankie's parents let him have many pets. He has six more snakes than he has cats. He has one less parrot than cats. Six of his pets have four legs. He has 2 dogs. How many pets does he have in total?
Step-by-step reasoning:
(1) Frankie has 6 more snakes than he has cats.
(2) He has 1 less parrot than cats.
(3) 6 of his pets have 4 legs.
(4) He has 2 dogs.
(5) The total number of pets is: 6 + 6 + 2 + 2 = 16.
Evaluation:
- No multiplication or division involved.
- The addition is straightforward.
Final Answer: 16
#### 16

Q: The sum of 2 numbers is 88. If one of these numbers is 25, what is the other number?
Step-by-step reasoning:
(1) The sum of 2 numbers is 88.
(2) One of these numbers is 25.
(3) The other number is 88 - 25 = 63.
Evaluation:
- The subtraction is straightforward.
- No multiplication or division involved.
Final Answer: 63
#### 63

Q: A man has a total of 14 coins in his pocket. He has 6 more 1-cent coins than 2-cent coins. How many 2-cent coins does he have?
Step-by-step reasoning:
(1) He has a total of 14"
2,"Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?",196,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?
Step-by-step reasoning:
(1) Olaf initially had 150 toy cars.
(2) Grandpa gave him twice as many as the uncle.
(3) Dad gave him 10.
(4) Mum gave him 5 less than that.
(5) Auntie gave him 6.
(6) Finally, 6 is one more than the uncle.
(7) Therefore: Uncle gave him 5.
(8) Now we can add up: 150 + 2 × 5 + 10 + 5 + 6 = 148 + 10 + 1 = 159.
Evaluation:
- We’re not given the quantity of cars that the uncle initially gave the grandpa.
- We’re not given the number of cars that the uncle had before Dad gave him 5.
- The addition is straightforward.
Final Answer: 159
#### 159

Q: Which of the following is the correct order of the integers −7, 0, 1, 4, 9?
Step-by-step reasoning:
(1) The integers −7, 0 and 1 are all less than 4.
(2) 4 is less than 9.
(3) Therefore the correct order is −7, 0, 1, 4 and"
3,"Emma's bank account has $100 in it. Each day of the week, she spends $8. At the end of the week, she goes to the bank and asks for as many $5 bills as her account can give her. She leaves the rest in the account. How many dollars remain in the account?",4,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Emma's bank account has $100 in it. Each day of the week, she spends $8. At the end of the week, she goes to the bank and asks for as many $5 bills as her account can give her. She leaves the rest in the account. How many dollars remain in the account?
Step-by-step reasoning:
- At the start of the week, her account has $100.
- Each day, she spends $8. So every day, she’s got $100 - $8 = $92.
- At the end of the week, she asks for as many $5 bills as she can, so she’ll get $92 divided by 5 = 18.
- She leaves $92 - 18 x $5 = $6 behind.
Evaluation:
- The $92 is the result of a simple subtraction.
Final Answer:
#### 6

Q: Sarah's dad has 20 dollars. She asks him for 2 dollars. He has 16 dollars left. How much did Sarah get?
Step-by-step reasoning:
- Sarah's dad started with $20.
- Sarah asked him for $2.
- He gave her $2.
- He ends up with $20 - 2 = $18.
- He gave her $20 - 18 = $2.
Evaluation:
- The subtraction is straightforward.
Final Answer:
#### 2

Q: Sarah's dad has 20 dollars. He gives her 4 dollars. Then he has 16 dollars left. How much did Sarah get?
Step-by-"
4,"Ezekiel hikes as a hobby. This past summer, he did a challenging three-day hike across 50 kilometers of wilderness. The first day, he covered 10 kilometers of steep mountainside. The second day was flatter and he was able to cover half the full hike distance. How many kilometers did he have to hike on the third day to finish the hike?",15,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Ezekiel hikes as a hobby. This past summer, he did a challenging three-day hike across 50 kilometers of wilderness. The first day, he covered 10 kilometers of steep mountainside. The second day was flatter and he was able to cover half the full hike distance. How many kilometers did he have to hike on the third day to finish the hike?
Step-by-step reasoning:
(1) On the first day, Ezekiel covered 10 kilometers of steep mountainside. This was 10% of the total distance he hiked.
(2) On the second day, he hiked half of the total distance.
(3) Since he did not hike any of the distance on the third day, the total distance he hiked was 10% + 50% = 60%.
(4) 60% of 50 kilometers is 30 kilometers.
Evaluation:
- Good use of proportional reasoning.
- Straightforward algebra.
Final Answer: 30
#### 30

Q: The number of people in a room who have a tattoo is two times the number of people in the room who do not have a tattoo. The total number of people in the room is 100. What is the ratio of the number of people in the room with tattoos to the number of people in the room without tattoos?
(A) 2:1
(B) 1:2
(C) 1:3
(D) 1:4
(E) 3:1
Step-by-step reasoning:
(1) The number of people in the room who have tattoos is 2 times the number of people in the room who do not"
5,"James decides to build a tin house by collecting 500 tins in a week. On the first day, he collects 50 tins. On the second day, he manages to collect 3 times that number. On the third day, he collects 50 tins fewer than the number he collected on the second day. If he collects an equal number of tins on the remaining days of the week, what's the number of tins he collected each day for the rest of the week?",50,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: James decides to build a tin house by collecting 500 tins in a week. On the first day, he collects 50 tins. On the second day, he manages to collect 3 times that number. On the third day, he collects 50 tins fewer than the number he collected on the second day. If he collects an equal number of tins on the remaining days of the week, what's the number of tins he collected each day for the rest of the week?
Step-by-step reasoning:
(1) On the first day, he collects 50 tins.
(2) On the second day, he collects 3 × 50 = 150 tins.
(3) On the third day, he collects 50 fewer than the number he collected on the second day = 100 tins.
(4) On the fourth, fifth, and sixth days, he collects an equal number of tins = 100 tins.
(5) Evaluating the sum: 50 + 150 + 100 + 100 + 100 + 100 = 600 tins.
Evaluation:
- The subtraction is straightforward.
- No multiplication involved.
Final Answer: 100
#### 100

Q: An apartment complex has 100 flats. There are 24 two-bedroom flats, 22 three-bedroom flats, 18 four-bedroom flats, and 36 one-bedroom flats. How many flats are there with 2 bedrooms?
Step-by-step reasoning:
(1) There are 24 two-bedroom flats.
(2) There are 150 flats with 2 or 3 bedroom"
6,"Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?",75,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?
Step-by-step reasoning:
(1) The first throw - a bullseye - was worth 50 points.
(2) The third throw was worth half the points of the bullseye - so worth 25 points.
(3) The second throw did not hit the target - so was worth 0 points.
(4) Adding these gives: 50 + 25 + 0 = 75.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 75
#### 75

Q: A basketball player shot 10 free throws. She made 8. What percentage of the free throws did she make?
Step-by-step reasoning:
(1) She missed 2 free throws.
(2) She made 8 free throws.
(3) The percentage is the total number of free throws that were successful divided by the total number of free throws that were attempted, multiplied by 100.
(4) 8/10 * 100 = 80.
Evaluation:
- Adding and multiplying fractions is straightforward.
- No subtraction or division involved.
Final Answer: 80%
#### 80%

Q: A basketball player shot 10 free throws. She made 8. What percentage of the free"
7,"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",7,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?
Step-by-step reasoning:
(1) Pebbles make a splash that is 1/4 meter wide.
(2) Rocks make a splash that is 1/2 a meter wide.
(3) Boulders create a splash that is 2 meters wide.
(4) 6 pebbles, 3 rocks and 2 boulders.
(5) Width of 6 pebbles = 6 x 1/4 = 1.5
(6) Width of 3 rocks = 3 x 1/2 = 1.5
(7) Width of 2 boulders = 2 x 2 = 4
(8) Total = 1.5 + 1.5 + 2.5 = 5
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 5
#### 5

Q: The average of 5, 6, 7, 8, 9, and 10 is 7. What is 1,000 times the average of 1, 2, 3, 4, 5 and 6?
Step-by-step reasoning:
(1) The average of 5, 6, 7, 8, 9, and 10 is 7."
8,"Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?",3,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?
Step-by-step reasoning:
(1) Each omelet requires 4 eggs.
(2) There are 3 people.
(3) There are 36 eggs.
(4) Dividing 4 into 36 gives: 9.
Evaluation:
- The division is straightforward.
- No subtraction or multiplication involved.
Final Answer: 9
#### 9

Q: In a certain group of women, the average weight is 132.8 pounds. If 5 women enter the group, what is the new average weight?
Step-by-step reasoning:
(1) The average weight for 5 women is 132.8.
(2) There are five women.
(3) Adding to the 5 gives: 132.8 + 5 = 137.8.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 137.8
#### 137.8

Q: The monthly salary for a certain type of worker is $1,463. How much does a worker earn in two months?
Step-by-step reasoning:
(1) A worker earns $1,463 a month.
(2) Two months is 2 times a month.
(3) Mult"
9,"Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?",55,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?
Step-by-step reasoning:
- 7 + 3 = 10
- 10 - 6 = 4
- 4 + 10 = 14
- 14 + 2 = 16
- 16 x 3 = 48
Final Answer: 48

Q: The figure above shows a parallelogram with one side of length 8 and the other sides of length 5 and 10. What is the perimeter of the figure?
Step-by-step reasoning:
(1) The perimeter of a parallelogram is equal to the sum of its sides.
(2) Each of the 3 sides is equal to one of the three numbers given.
(3) The first side is 8, the second side is 5, and the third side is 10.
(4) Adding these gives: 8 + 5 + 10 = 23.
Evaluation:
- No multiplication or division involved.
- No subtraction.
Final Answer: 23

Q: 450 people participated in a charity run. 203 of them were in the 100-meter sprint. 180 of them were in the 1-mile race. 186 of them were in the 100-meter race. How"
