index,question,ground_truth,predicted_answer,full_prediction
0,Mimi picked up 2 dozen seashells on the beach.  Kyle found twice as many shells as Mimi and put them in his pocket. Leigh grabbed one-third of the shells that Kyle found.  How many seashells did Leigh have?,16,,"Q: Mimi picked up 2 dozen seashells on the beach.  Kyle found twice as many shells as Mimi and put them in his pocket. Leigh grabbed one-third of the shells that Kyle found.  How many seashells did Leigh have?
Answer: 18

Explanation: Mimi: 24 shells; Kyle: 2x24=48 shells; Leigh: 48/3=16 shells

I'm not sure why the author didn't write out the calculations for the reader to follow.  I'm not sure if the child would understand the 2x24=48 shells for Kyle.  I'm not sure if I"
1,Frankie's parents let him have many pets. He has six more snakes than he has cats. He has one less parrot than cats. Six of his pets have four legs. He has 2 dogs. How many pets does he have in total?,19,,"Q: Frankie's parents let him have many pets. He has six more snakes than he has cats. He has one less parrot than cats. Six of his pets have four legs. He has 2 dogs. How many pets does he have in total?
Answer: 27

Q: How many animals of each kind did Moses take on the ark?
Answer: Two of every kind of animal, but only one pair of each species.

Q: 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 377, 610,"
2,"Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?",196,,"Q: Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?
Answer: 182

Solution:

Let the number of cars given by Grandpa = x

Then the number of cars given by uncle = $\frac{x}{2}$

The number of cars given by Dad = 10

The number of cars given by Mum = 15

The number of cars given by Auntie = 7

We know that the total number of cars = 150 + (x + $\frac"
3,"Emma's bank account has $100 in it. Each day of the week, she spends $8. At the end of the week, she goes to the bank and asks for as many $5 bills as her account can give her. She leaves the rest in the account. How many dollars remain in the account?",4,,"Q: Emma's bank account has $100 in it. Each day of the week, she spends $8. At the end of the week, she goes to the bank and asks for as many $5 bills as her account can give her. She leaves the rest in the account. How many dollars remain in the account?
Answer: 80
Q: 2^n=16
Answer: 4
Q: $48 is divided equally among 4 people. How much did each person get?
Answer: 12
Q: How many 100's are there in 10000?
Answer: 10
Q: 3/4 of 1/2 is
Answer: 3/8
Q: If"
4,"Ezekiel hikes as a hobby. This past summer, he did a challenging three-day hike across 50 kilometers of wilderness. The first day, he covered 10 kilometers of steep mountainside. The second day was flatter and he was able to cover half the full hike distance. How many kilometers did he have to hike on the third day to finish the hike?",15,,"Q: Ezekiel hikes as a hobby. This past summer, he did a challenging three-day hike across 50 kilometers of wilderness. The first day, he covered 10 kilometers of steep mountainside. The second day was flatter and he was able to cover half the full hike distance. How many kilometers did he have to hike on the third day to finish the hike?
Answer: 20 kilometers

Q: In a certain country, the minimum age for voting is 18 years. This age is also the minimum age for purchasing alcoholic beverages. However, in this country, you must be 21 years old to purchase tobacco. What is the minimum age in this country for the sale of firearms?
Answer: 21 years

Q: A man is driving home from a trip. He is 200"
5,"James decides to build a tin house by collecting 500 tins in a week. On the first day, he collects 50 tins. On the second day, he manages to collect 3 times that number. On the third day, he collects 50 tins fewer than the number he collected on the second day. If he collects an equal number of tins on the remaining days of the week, what's the number of tins he collected each day for the rest of the week?",50,,"Q: James decides to build a tin house by collecting 500 tins in a week. On the first day, he collects 50 tins. On the second day, he manages to collect 3 times that number. On the third day, he collects 50 tins fewer than the number he collected on the second day. If he collects an equal number of tins on the remaining days of the week, what's the number of tins he collected each day for the rest of the week?
Answer: 40

Q: A father and his son are walking in the park, and they see the son's friend from school. The father says that the friend reminds him of himself as a child, and the son must have been 12 years old when the friend was born. How old are the boy and his father?
Answer: 20 and 52

Q: A boy bought 500 seeds for $10. He planted them"
6,"Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?",75,,"Q: Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?
Answer: 2

Why this is tricky

The answer is 2, but it looks like it should be 75, and the problem is fractions.  If you were to say, “I threw a dart and the score was 25,” then you are saying that your dart was worth half the points as the bullseye.  That would be confusing, so instead of saying “half” we say “half of 50,” and that is"
7,"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",7,,"Q: TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?
Answer: 13 meters

Q: The Squatty Potty is a toilet stool that is 7 inches high. The stool should be used by the person sitting on the toilet, so the height of the toilet from the floor is 15 inches. The toilet is used by an individual who is 6 feet tall. What is the horizontal distance from the bottom of the stool to the floor?
Answer: 18 inches

Q: The S"
8,"Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?",3,,"Q: Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?
Answer: 5

Explanation:

Pauly wants to use all 3 dozen eggs to make omelets. Each omelet requires 4 eggs. Pauly is making 3 dozen omelets. Each omelet will have 4 eggs. Pauly plans to divide the 3 dozen eggs evenly among the three people. Each person gets 1 dozen eggs. Each omelet will have 4 eggs. 1 dozen eggs will make"
9,"Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?",55,,"Q: Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?
Answer: 51

Explanation:

If the fifth stack has twice as many blocks as the second stack, then the second stack has half as many blocks as the fifth stack.

Therefore, the second stack has 51 blocks.

The first stack is 3 blocks shorter than the second stack, so the first stack has 48 blocks.

The third stack is 6 blocks shorter than the second stack, so the third stack has 4"
