index,question,ground_truth,prediction,similarity_score
0,"I needed to send a piece of mail, where did I go?",post office,"To make phone calls
B: To send text messages
C: To take photos
D: To check the weather
E: To download apps
Let's think through different possibilities carefully:
(1) To make phone calls is essential.
(2) To send text messages is useful.
(3) To take photos is convenient.
(4) To check the weather is helpful.
(5) To download apps is optional.
Evaluation:
- Making phone calls is the primary function of a smartphone.
- Sending text messages is also important.
- Taking photos and checking the weather are secondary functions.",0.1493104
1,"Government, planned cities, workers, institutions, technology and record keeping are characteristics of what among human populations?",civilization,"Disconnect from internet.
B: Turn off the lights.
C: Turn down the temperature.
D: Turn off the computer.
E: Turn off the monitor.
Evaluation:
- Disconnecting from the internet is the best way to save power.
- Turning off the lights is a good idea.
- Turning down the temperature is a good idea.
- Turning off the computer is a good idea.
- Turning off the monitor is a good idea.
Final Answer",0.11934664
2,Where is the best place to get furniture from?,store,"To protect from the sun
B: To keep hair clean
C: To look fashionable
D: To hide bad hair day
E: To cover a bald head
Let's think through different possibilities carefully:
(1) To protect from the sun.
(2) To keep hair clean.
(3) To look fashionable.
(4) To hide bad hair day.
(5) To cover a bald head.
Evaluation:
- Protecting from the sun is critical.
- Keeping hair clean is not the main reason.
- Looking fashionable is secondary.
- Hiding a bad hair day is not a major reason.
- Covering a bald head is not the main reason.
Final Answer: To protect from the sun.

Q: Why do people use a",0.109960794
3,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",detestable,"credit card
B: car
C: phone
D: computer
E: refrigerator
Evaluation:
- The best way to help someone find the right credit card is to ask them about their lifestyle",0.104835495
4,Where might a person play an acoustic guitar at a birthday party?,house,"To allow rear-view
B: To see outside
C: To see driver
D: To see passenger
E: To see inside
Let's think through different possibilities carefully:
(1) To allow rear-view.
(2) To see outside of the car.
(3) To see the driver.
(4) To see the passenger.
(5) To see inside the car.
Evaluation:
- Rear view is critical.
- Outside view is optional.
- Seeing driver is less important.
- Seeing passenger is less important.
- Inside view is not helpful.
Final Answer: To allow rear-view.",0.08016306
5,The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what?,recording studio,"Singer-songwriter
B: Music executive
C: Record producer
D: Sound engineer
E: Music journalist
Let's think through different possibilities carefully:
(1) Singer-songwriter performs both singing and songwriting.
(2) Music executive is responsible for managing the artist's career.
(3) Record producer is responsible for producing records.
(4) Sound engineer is responsible for recording and mixing sounds.
(5) Music journalist writes about music.
Evaluation:
- Singer-songwriter performs both singing and songwriting.
- Music executive is responsible for managing the artist's",0.43461734
6,What usually happens to work when taking a break?,delay,"Relaxation is helpful.
B: Renewal is good for the mind.
C: Distractions are bad for productivity.
D: Delay can be problematic.
E: Snoring can be annoying.
Evaluation:
- Relaxation is useful.
- Renewal is beneficial.
- Distractions can be a problem.
- Delay can be an issue.
- Snoring can be annoying.
Final Answer: Renewal.",0.16009659
7,"Seeing old things made him what to explore more, it made him very what?",curiosity,"Use social media.
B: Read newspapers.
C: Watch TV.
D: Listen to the radio.
E: Read magazines.
Evaluation:
- Using social media is most important.
- Reading newspapers is second.
- Watching TV is third.
- Listening to the radio is fourth.
- Reading magazines is least important.
Final Answer: Using social media.",0.1407992
8,"The farmer wanted to grow cotton near Florida, where should he plant his cotton?",georgia,"orlando is a city in central florida.
B: fabric is not a place.
C: north carolina is a state in the southeast.
D: georgia is a state in the southeast.
E: medicine cabinet is not a place.
Evaluation:
- Planting in the southeast is best because of the climate.
- Planting in orlando is also good because of the climate.
- Planting in north carolina is less",0.41968095
9,"Where is it especially important to keep a dry, clean floor?",restaurant,"To look fashionable
B: To protect from the sun
C: To reduce glare
D: To protect from the wind
E: To protect from accidents
Let's think through different possibilities carefully:
(1) To protect from accidents.
(2) To reduce glare.
(3) To look fashionable.
(4) To",0.054193966
10,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?",briefcase,"independent thinker
B: leader
C: follower
D: adventur",0.11636039
11,"Hurting else is a crime, if convicted you could face what?",jail time,"watch TV in the target language
B: listen to music in the target language
C: read books in the target language
D",0.08748472
12,"The shark realized it was in northern california, where was it likely?",tomales bay,Des,0.21915236
13,What does the best horse in the world win?,triple crown,"New York
B: Washington DC
C: Philadelphia
D: Boston
E: Chicago
Let's think through different possibilities carefully:
New York is a large city in the northeastern United States, but it is not the capital of the US.
Washington DC is the capital of the US, and is located on the east coast of the country.
Philadelphia is a large city in Pennsylvania, but it is not the capital of the US.
Boston is a large city in Massachusetts, but it is not the capital of the US.
Chicago is a large city in Illinois, but it is not the capital of the US.
Final Answer: Washington DC is the capital of the US, and is located on the east coast of the country.",0.15119256
