index,question,ground_truth,prediction,similarity_score
0,"I needed to send a piece of mail, where did I go?",post office,"First, I went to the post office.
B: Next, I mailed the letter.
Final Answer: B: post office.",0.6058907
1,"Government, planned cities, workers, institutions, technology and record keeping are characteristics of what among human populations?",civilization,"Government refers to the political authority that exercises control over a defined territory and population.
B: Planned cities refer to urban areas that have been designed and built with a specific purpose or goal in mind.
C: Workers refer to individuals who are employed in a particular industry or sector.
D: Institutions refer to organizations that have a specific purpose or goal in mind.
Final Answer: Civilization.",0.34871218
2,Where is the best place to get furniture from?,store,"Exercise
B: Watch TV
C: Read a book
D: Listen to music",0.07989994
3,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",detestable,"It helps teams collaborate more effectively.
B: It enables better time management.
C: It facilitates better communication.
D: It helps to reduce project complexity.
E: It enables more accurate forecasting.
Let'",-0.07474995
4,Where might a person play an acoustic guitar at a birthday party?,house,"A person might play an acoustic guitar at a birthday party at a house.
Final Answer: C: house.",0.44267976
5,The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what?,recording studio,"Hotel California
B: Stairway to Heaven
C: Free Bird
D: American Pie
E: Bad Moon Rising",0.17888224
6,What usually happens to work when taking a break?,delay,"when taking a break, usually relaxation happens.
B: work is renewed.
Final Answer: B: work is renewed.",0.16488111
7,"Seeing old things made him what to explore more, it made him very what?",curiosity,"Seeing old things made him feel nostalgic.
B: Seeing old things made him feel happy.
C: Seeing old things made him feel reverent.
Final Answer: B: Seeing old things made him feel happy.",0.18543842
8,"The farmer wanted to grow cotton near Florida, where should he plant his cotton?",georgia,"Florida is not a good place to grow cotton. It is too warm and humid, which can lead to diseases.
B: Fabric is not a place, it's a type of material.
C: North Carolina is a good place to grow cotton. It has a temperate climate with mild winters and hot summers, which is suitable for cotton growth.
D: Georgia is a good place to grow cotton. It has a mild",0.33839238
9,"Where is it especially important to keep a dry, clean floor?",restaurant,"Bed - No, it is not especially important to keep a dry, clean floor in a bedroom.
B: Restaurant - No, it is not especially important to keep a dry, clean floor in a restaurant.
C: Synagogue - No, it is not especially important to keep a dry, clean floor in a synagogue.
D: Wedding - No, it is not especially important to keep a dry, clean floor at a wedding.
E",0.17145301
10,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?",briefcase,"The book had deep meaning to the businessman, so he always kept a copy of it beneath all his work.
B: He kept it in his briefcase.
Final Answer: D: briefcase.",0.61112356
