index,question,ground_truth,prediction,similarity_score
0,"I needed to send a piece of mail, where did I go?",post office,"Yes, we do
B: No, we don't
C",0.053548094
1,"Government, planned cities, workers, institutions, technology and record keeping are characteristics of what among human populations?",civilization,"Prophase 1, Metaphase 1, Anaphase 1, Telophase 1, Prophase 2, Metaphase 2, Anaphase 2, Telophase 2
B: Prophase 1, Metaphase",-0.025466796
2,Where is the best place to get furniture from?,store,Take over-the-counter cold medicine,0.033601474
3,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",detestable,"Gardener
B: Landscaper
C: Real estate agent
D: Architect
E: Engineer
Final Answer: Real estate agent.

Q: At the end of the",0.046678055
4,Where might a person play an acoustic guitar at a birthday party?,house,keyboard,0.2644427
5,The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what?,recording studio,"""I Love the Hustle""
B: ""The Hustle""
C: ""The Hustle: The Album""
D: ""Hustle""
E: ""I Love the Hust",0.1482276
6,What usually happens to work when taking a break?,delay,"A city council is elected by the people of the city, and a town council is appointed by the mayor.
B: A city council is elected by the people of the city, and a town council is appointed by the governor.
C: A city council is elected by the people of the city, and a town council is appointed by the mayor.
D: A city council is appointed by the mayor, and a town council is elected by the people of the city.
E: A city council is appointed by the mayor, and a town council is elected by the people of the city.
Final Answer: A city council is elected by the people of the city, and a town council is appointed by the mayor.

Q: What is the main purpose of the Declaration of Independence?
Choices",0.010903422
7,"Seeing old things made him what to explore more, it made him very what?",curiosity,"Fort Sumter
B: Fort Sumpter
C: Fort Sumner
D: Fort Sumner
The answer is: Fort Sumter

Q: What is the name of the fort where",-0.004978558
8,"The farmer wanted to grow cotton near Florida, where should he plant his cotton?",georgia,"Jupiter
B: Saturn
C: Uranus
D: Neptune
E: Mercury",0.043759443
9,"Where is it especially important to keep a dry, clean floor?",restaurant,C: a broom.,0.18977278
10,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?",briefcase,"The giant panda
B: The elephant
C: The hippopotamus
D: The lion",0.13622084
11,"Hurting else is a crime, if convicted you could face what?",jail time,"Ostrich
B: Emus
C: Eagles
D: Peacock
E: Flamingo
Final Answer: Ostrich

Q: What is the most common color",-0.010492533
12,"The shark realized it was in northern california, where was it likely?",tomales bay,"beijing
B: seoul
C: shanghai
D:",0.18784532
13,What does the best horse in the world win?,triple crown,"Miami
B: Jacksonville
C: Orlando
D: Tampa
E: Tallahassee
Final Answer: Tallahassee",0.181927
14,How do you indicate that you agree wtih someone?,nodding,"to supervise
B: to lead
C: to control
D: to command
E: to order",0.14947185
15,Artie Shaw became famous playing a clarinet in what outfit?,jazz band,Everest,0.11881574
16,If you're drinking what body part does most of the work?,mouth,"I
B: The
C: A
D: You
E: And
Final Answer: the.

Q: What is the name of the first computer game?
Cho",0.14879242
17,What does someone do before they travel to work?,get ready,"Trains athletes
B: Works in the office
C: Cooks for the athletes
D: Makes the gym
E: Pl",0.18778895
18,"The golfer was great at keeping a calm exterior as he finished up his final shots, but inside he was what because he knew he had won?",excited,Skin infl,0.22335285
19,Where would you find only one churchyard?,village,"There is no difference.
B: A city has less people than a country.
C: A city is larger than a country.
D: A country is larger than a city.
E: A city has more people than a country.
Final Answer: A city",0.0392138
