index,question,ground_truth,prediction,similarity_score
0,"I needed to send a piece of mail, where did I go?",post office,You went to the post office.,0.74531794
1,"Government, planned cities, workers, institutions, technology and record keeping are characteristics of what among human populations?",civilization,Civilizations,0.87822115
2,Where is the best place to get furniture from?,store,"The best place to get furniture can vary based on individual preferences and needs. This can include online retail stores, physical furniture stores, and furniture rental companies. Regardless of where you decide to purchase, ensure to read the product description carefully and look for quality construction.",0.23743574
3,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",detestable,No promising thoughts found.,0.1750722
4,Where might a person play an acoustic guitar at a birthday party?,house,"A person might play an acoustic guitar at a birthday party either during a performance for the guests or casually in a social setting, depending on the atmosphere of the event.",0.13540357
5,The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what?,recording studio,No promising thoughts found.,0.06439593
6,What usually happens to work when taking a break?,delay,"When taking a break from work, your brain continues to process the information and events of the day subconsciously.",0.113203704
7,"Seeing old things made him what to explore more, it made him very what?",curiosity,No promising thoughts found.,0.1472894
8,"The farmer wanted to grow cotton near Florida, where should he plant his cotton?",georgia,"The farmer should plant his cotton in the South near Florida, taking into consideration that planting near the coast might lead to higher water costs.",0.17718323
9,"Where is it especially important to keep a dry, clean floor?",restaurant,"It is especially important to keep a dry, clean floor in the kitchen for the health of your family.",0.16614775
10,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?",briefcase,No promising thoughts found.,0.058863584
11,"Hurting else is a crime, if convicted you could face what?",jail time,"If convicted of hurting someone else, you could face jail time or long prison sentences.",0.50262356
12,"The shark realized it was in northern california, where was it likely?",tomales bay,The shark was likely in the Pacific Ocean off the coast of Northern California.,0.30801103
13,What does the best horse in the world win?,triple crown,No promising thoughts found.,0.022891236
14,How do you indicate that you agree wtih someone?,nodding,"You can indicate that you agree with someone by verbally expressing it with phrases such as ""I agree"", ""That's true"", ""You're right"", or ""I think so too"". Non-verbal cues like nodding your head or giving a thumbs up can also show agreement.",0.40209085
15,Artie Shaw became famous playing a clarinet in what outfit?,jazz band,"Artie Shaw became famous playing a clarinet in a tuxedo, earning him nicknames like ""The Tuxedo King"" or ""The Black Tuxedo King"".",0.20729584
16,If you're drinking what body part does most of the work?,mouth,The mouth and throat do most of the work when you're drinking.,0.3923744
17,What does someone do before they travel to work?,get ready,No promising thoughts found.,0.10994741
