index,question,ground_truth,prediction,similarity_score
0,"I needed to send a piece of mail, where did I go?",post office,"A wall can be gone through by going through a hole or by climbing over it.

Q: When",0.065501444
1,"Government, planned cities, workers, institutions, technology and record keeping are characteristics of what among human populations?",civilization,"the sun and all the planets
B: the sun and all the stars
C: the sun and all the galaxies
D: the sun and all the",0.29550555
2,Where is the best place to get furniture from?,store,"run
B: walk
C: play
D: jump
E: skip
F: exercise
Final Answer: exercise.

Q",0.09746292
3,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",detestable,Bud,0.16393043
4,Where might a person play an acoustic guitar at a birthday party?,house,"every three months
B: every six months
C: every year
D:",0.14989758
5,The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what?,recording studio,To stop your snare drum,0.2693835
6,What usually happens to work when taking a break?,delay,"Cheese and crackers
B: Veggies and hummus
C: Fruit and nuts
D: Yogurt and granola
E: All of the Above
Final Answer: All of the Above

Q: What is a",0.11696258
7,"Seeing old things made him what to explore more, it made him very what?",curiosity,"Ernest Hemingway
B: John Steinbeck
C: Mark Twain
D: William Faul",0.09646948
8,"The farmer wanted to grow cotton near Florida, where should he plant his cotton?",georgia,"a cat
B: a goat
C: a bird
D: a bird that can fly
E: a rept",0.092095315
9,"Where is it especially important to keep a dry, clean floor?",restaurant,"Warmer temperatures
B: Less snow",-0.038160063
10,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?",briefcase,"herb
B: spore
C: fruit",0.15003172
11,"Hurting else is a crime, if convicted you could face what?",jail time,"New Delhi.

Q: Who was the first president of the United States",-0.018759435
12,"The shark realized it was in northern california, where was it likely?",tomales bay,"because of its rivers
B: because of",0.12565222
13,What does the best horse in the world win?,triple crown,"Hillary Clinton
B: Condoleezza Rice
C:",0.13384439
14,How do you indicate that you agree wtih someone?,nodding,"Tim Berners-Lee
B: Stephen Hawking
C: John Mc",0.19311099
15,Artie Shaw became famous playing a clarinet in what outfit?,jazz band,"in front of
B: together
C: on behalf of
D: for
E: against
Final Answer: for

Q: What does",0.08653508
16,If you're drinking what body part does most of the work?,mouth,"Because she was drunk

Q: A man",0.19516093
17,What does someone do before they travel to work?,get ready,cold,0.27226943
18,"The golfer was great at keeping a calm exterior as he finished up his final shots, but inside he was what because he knew he had won?",excited,"grip
B: club head",0.1616799
19,Where would you find only one churchyard?,village,"michigan
B: huron
C: ontario
D: superior
E: er",0.11970505
20,What does an actor in a musical do?,sing songs,"Birds lay eggs, reptiles give birth to live young
B: Birds have wings, reptiles have legs
C: Birds are warm-blooded, reptiles are cold-blooded
D",0.037473094
21,What will you need to do to decide whether to be seeing artifacts?,thinking,"the feelings of loss that accompany death
B: the feelings of loss that accompany death or serious illness
C: the feelings of loss that accompany death or serious illness or life changing event
D: the feelings of loss that accompany death or serious illness or major life changing event
E: the feelings of loss that accompany death or serious illness or major life changing event or divorce",0.10985873
22,"The man was sick of not attracting women and began to practice grooming, what was his goal?",looking good,,0.39223665
