index,question,ground_truth,predicted_answer,full_prediction
0,Mimi picked up 2 dozen seashells on the beach.  Kyle found twice as many shells as Mimi and put them in his pocket. Leigh grabbed one-third of the shells that Kyle found.  How many seashells did Leigh have?,16,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Mimi picked up 2 dozen seashells on the beach.  Kyle found twice as many shells as Mimi and put them in his pocket. Leigh grabbed one-third of the shells that Kyle found.  How many seashells did Leigh have?
Let's think step-by-step.
Mimi picked up 2 dozen seashells on the beach.
12 + 12 = 24
Kyle found twice as many shells as Mimi.
24 x 2 = 48
Leigh grabbed one-third of the shells that Kyle found.
48 + 3 = 16
#### 16

Q: Liam was running the race. He was in 6th place. He passed"
1,Frankie's parents let him have many pets. He has six more snakes than he has cats. He has one less parrot than cats. Six of his pets have four legs. He has 2 dogs. How many pets does he have in total?,19,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Frankie's parents let him have many pets. He has six more snakes than he has cats. He has one less parrot than cats. Six of his pets have four legs. He has 2 dogs. How many pets does he have in total?
Let's think step-by-step.
Frankie has 6 more snakes than he has cats.
6 + cats = snakes
One less parrot than cats.
Parrots = cats - 1
6 snakes + 6 cats = 12
12 - 1 = 11
Total pets = 11 + 2 + 6 = 19
#### 19

Q: On a certain day, the temperature rose 5 degrees. The next"
2,"Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?",196,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?
Let's think step-by-step.
Olaf started with 150 cars.
Grandpa gave Olaf twice as many toy cars as the uncle. This means that the uncle gave Olaf half as many toy cars as grandpa. This means that the uncle gave Olaf half of 150 cars.
This is 75 (75 = $\frac{half}{150}$)
Dad gave Olaf 10 toy cars, 5 less than Mum.
This means"
3,"Emma's bank account has $100 in it. Each day of the week, she spends $8. At the end of the week, she goes to the bank and asks for as many $5 bills as her account can give her. She leaves the rest in the account. How many dollars remain in the account?",4,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Emma's bank account has $100 in it. Each day of the week, she spends $8. At the end of the week, she goes to the bank and asks for as many $5 bills as her account can give her. She leaves the rest in the account. How many dollars remain in the account?
Let's think step-by-step.
Emma starts with $100 in her account.
Each day, she spends $8.
There are 7 days of the week.
$8 + $8 + $8 + $8 + $8 + $8 + $8 = $56
$100 - $56 = $44
There are 44 dollars left in the account.
#### 44

Q: 4 friends are playing a game. Each"
4,"Ezekiel hikes as a hobby. This past summer, he did a challenging three-day hike across 50 kilometers of wilderness. The first day, he covered 10 kilometers of steep mountainside. The second day was flatter and he was able to cover half the full hike distance. How many kilometers did he have to hike on the third day to finish the hike?",15,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Ezekiel hikes as a hobby. This past summer, he did a challenging three-day hike across 50 kilometers of wilderness. The first day, he covered 10 kilometers of steep mountainside. The second day was flatter and he was able to cover half the full hike distance. How many kilometers did he have to hike on the third day to finish the hike?
Let's think step-by-step.
Ezekiel hiked 10 kilometers the first day.
He hiked half of the full distance the second day.
He hiked 10 + 50/2 = 25 kilometers the second day.
That leaves 50 - 25 = 25 kilometers to hike on the third day.
#### 25

Q: A box of 6 oranges weighs 2 kilograms"
5,"James decides to build a tin house by collecting 500 tins in a week. On the first day, he collects 50 tins. On the second day, he manages to collect 3 times that number. On the third day, he collects 50 tins fewer than the number he collected on the second day. If he collects an equal number of tins on the remaining days of the week, what's the number of tins he collected each day for the rest of the week?",50,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: James decides to build a tin house by collecting 500 tins in a week. On the first day, he collects 50 tins. On the second day, he manages to collect 3 times that number. On the third day, he collects 50 tins fewer than the number he collected on the second day. If he collects an equal number of tins on the remaining days of the week, what's the number of tins he collected each day for the rest of the week?
Let's think step-by-step.
He collects 50 tins on the first day.
He collects 3 more tins on the second day.
3 × 50 = 150
He collects 50 fewer tins on the third day.
50 - 50 = 0
He collects 50 tins for the rest of the week.
50 tins each day for the rest of the week.

### ShowHide Details"
6,"Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?",75,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?
Let's think step-by-step.
The score for the first dart was 50.
The score for the second dart was 0.
The third dart, which was worth half the points of the bullseye, was worth 25.
50 + 0 + 25 = 75
#### 75

Q: There are 12 boys and 12 girls in a class. If we pick one student at random, what is the probability that the"
7,"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",7,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?
Let's think step-by-step.
Pebbles make a splash that is 1/4 meter wide.
Rocks make a splash that is 1/2 a meter wide.
Boulders create a splash that is 2 meters wide.
Pebbles: 6 x 1/4 meter = 2 meters
Rocks: 3 x 1/2 meter = 2 meters
Boulders: 2 x 2 meters = 4 meters
#### 8"
8,"Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?",3,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?
Let's think step-by-step.
He has 3 dozen eggs, which means 36 eggs.
He needs 4 eggs per omelet, so each dozen eggs will make 3 omelets.
36 divided by 3 is 12 omelets.
Each person will get 12 omelets.
#### Divided by 3 is 12

Q: If I have $100,000 in the bank, how much more do I need"
9,"Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?",55,8,"Q: Jason had 5 apples. He bought 3 more. How many apples does he have now?
Let's think step-by-step.
Jason started with 5 apples.
He bought 3 more apples.
5 + 3 = 8
#### 8

Q: Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?
Let's think step-by-step.
The first stack was 7 blocks tall.
The second stack is 3 blocks taller than the first.
2nd stack = 7 + 3 = 10
The third stack is 6 blocks shorter than the second stack.
3rd stack = 10 - 6 = 4
The fourth stack is 10 blocks taller than the third stack.
4th stack = 4 + 10 = 14
The fifth stack"
