index,question,ground_truth,prediction,similarity_score
0,"I needed to send a piece of mail, where did I go?",post office,"post office
Final Answer: To the post office.",0.7718369
1,"Government, planned cities, workers, institutions, technology and record keeping are characteristics of what among human populations?",civilization,"keyboard
B: mouse",0.097899765
2,Where is the best place to get furniture from?,store,"Exercise regularly
B: Eat a balanced di",0.059208162
3,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?",detestable,"Avoid them at all costs
B: Try to reason with them
C: Document their behavior and report it to management
D: Take a break and step away from the situation
E: Try to find common ground and build a better working relationship.
Final Answer: B: Try to reason with them.

Q: Which of the following is",0.15426715
4,Where might a person play an acoustic guitar at a birthday party?,house,"A cake is larger and a cupcake is smaller.
B: A cake is sweeter and a cupcake is less sweet.
C: A cake is made with butter and a cupcake is made with oil.
D: A cake is",0.033174746
5,The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what?,recording studio,"To relax
B: To experience new cultures
C: To try new foods",0.11271418
6,What usually happens to work when taking a break?,delay,"exercise
B: music
C: meditation
D: spending time with loved ones
E",0.15961862
7,"Seeing old things made him what to explore more, it made him very what?",curiosity,Aricept,0.16171789
8,"The farmer wanted to grow cotton near Florida, where should he plant his cotton?",georgia,"A pencil is made of wood, while a pen is made of",0.0335244
9,"Where is it especially important to keep a dry, clean floor?",restaurant,"To keep an eye on your baby while they sleep
B: To listen to your baby's breathing
C: To check on your baby's temperature
D: To see your baby's dreams
E: To keep your baby entertained
Final Answer: To keep an eye on your baby while they sleep.",-0.008610279
10,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?",briefcase,"Bilingual
B: Multilingual
C: Polyglot
D: Omnilingual
E: None of the above
Final Answer: Bilingual.

Q: What is the name of the famous painting by Leonardo da Vinci that depicts a woman with a mysterious smile",0.07543092
11,"Hurting else is a crime, if convicted you could face what?",jail time,"To detect smoke and alert occupants
B: To detect carbon monoxide and alert occupants
C: To detect fire and alert occupants
D: To detect water damage and alert occupants
E: To detect mold and alert occupants
Final Answer: To detect smoke and alert occupants.

Q: What is the purpose of a fire",0.026247116
12,"The shark realized it was in northern california, where was it likely?",tomales bay,"Decisive
B: Good communication skills
C: Flexible
D: Proactive
E: Able to delegate tasks
F: Able to multitask
Final Answer: F: Able to multitask

Q: What is the average lifespan of a blue whale",-0.0076766573
13,What does the best horse in the world win?,triple crown,"Denali (formerly known as Mount McKinley).

Q: Which of the following is NOT a type of dog?
Choices:",0.17106071
14,How do you indicate that you agree wtih someone?,nodding,"to give your name
B: to give",0.25543934
15,Artie Shaw became famous playing a clarinet in what outfit?,jazz band,"Ag
B: Au
C:",0.10534723
16,If you're drinking what body part does most of the work?,mouth,200,0.24884413
17,What does someone do before they travel to work?,get ready,"by reading a book
B: by watching a video",0.10199053
18,"The golfer was great at keeping a calm exterior as he finished up his final shots, but inside he was what because he knew he had won?",excited,"Sesquipedalophobia
B: Gigilophobia",0.18856552
19,Where would you find only one churchyard?,village,"spaghetti
B: macaroni
C: ravioli
D",0.14787011
20,What does an actor in a musical do?,sing songs,"Mix ingredients and bake
B: Add water and mix
C: Beat eggs and",0.08447138
21,What will you need to do to decide whether to be seeing artifacts?,thinking,"by reading a book
B: by talking to locals
C: by looking at pictures
D: by watching a documentary
E: by experiencing it
Final Answer: By talking to locals.

Q: What is the best way to learn about a culture?
Choices:",0.14750311
22,"The man was sick of not attracting women and began to practice grooming, what was his goal?",looking good,"It keeps your hands warm
B: It prevents the drink from spilling
C: It allows you to drink more quickly
D: It cools down the drink faster
E: It tastes better
Final Answer: It allows you to drink more quickly.

Q:",0.07150398
23,"The turkey needed to be kept unspoiled, what is the full name of a useful impelement in this situation?",refrigerator,To hold hair in place,0.14377879
24,Where could a bee get stuck easily?,soft drink,"To protect from rain
B: To protect",0.0680194
25,John liked to listen to music while he read.  He felt it helped him do what?,understand,"Eat a balanced diet
B: Exercise",0.08064513
26,Starting a fire is a terrible idea because flames move in what pattern?,unpredictable,"illusion
B: perspective
C: distortion
D: confusion
E: hallucination
Final Answer: B: perspective.

Q: What is the name of the largest living thing on Earth?",0.08799693
27,"The equipment manager was in charge of the sports equipment, when the team arrived for an away he took it off the bus and brought it where?",arena,"Running
B: Swimming
C: Yoga
D:",0.14753748
28,"People often have to take medicine, they tend to keep it where?",bathroom,"brush them twice a day
B: floss once a day
C: visit the dentist regularly
D: eat sugary snacks
E: drink plenty of water
Final Answer: brush them twice a day and visit the dentist regularly.

Q: Why do we need to exercise regularly?",0.09542009
29,"The side chair was always kept dry, where was it located compared to the lawn chair?",building,"Starry Night
B: Mona Lisa
C: Sunflowers
D: The Last Supper
E: Girl with a Pearl Earring
Final Answer: E: Girl with a Pearl Earring

Q: Which of the following is NOT a type of computer",0.15812068
30,"If one wanted great bar service and maybe a room afterwards, where would be a good place to go?",hotel,"walking
B: biking
C: driving
D",0.12404154
31,James was caught committing perjury in a mock trial for his law class. Everyone laughed at his inept lies.  He couldn't stand the what?,embarrassment,"Being knowledgeable about the subject matter
B: Having a friendly personality
C: Being able to communicate complex ideas clearly
D: Having a lot of experience teaching
E: Being well-liked by students
Final Answer: Being able to communicate complex ideas clearly.",0.116425015
32,where do people go to view famous pictures?,art show,"the starry night
B: the last supper
C: the girl with a pearl earring
D: the mona lisa
E: the sunflowers
Final Answer: C: the girl with a pearl earring.

Q: what do you call a",0.19449356
33,Why might someone think killing is justified?,punishment,,0.29498774
